year_built,beds,baths_full,garage,baths_half,lot_size,building_size,price,baths,is_new_construction,photo_count
2015,4,2,2.0,1.0,7841,2715,415000,3,False,30
2009,6,4,3.0,0.0,43996,3771,720000,4,False,30
2018,3,2,2.0,0.0,10454,1682,312000,2,False,30
2019,3,2,2.0,1.0,4792,1942,295000,3,True,21
2001,4,2,2.0,0.0,7841,2411,375000,2,False,22
1948,3,2,0.0,0.0,15682,1305,175000,2,False,21
1996,4,2,2.0,1.0,248728,2551,437500,3,False,30
1960,3,1,0.0,0.0,15682,1060,126000,1,False,19
2020,4,2,2.0,0.0,5663,2068,319900,2,True,2
1964,3,2,0.0,0.0,10019,1400,192500,2,False,23
1994,4,2,2.0,0.0,13939,1820,248000,2,False,16
1979,3,2,2.0,0.0,11326,1266,203000,2,False,25
1963,4,2,2.0,0.0,61420,2231,282000,2,False,30
2019,4,2,2.0,0.0,6534,1976,273013,2,True,17
1957,3,2,0.0,0.0,11761,1690,235000,2,False,16
2011,3,2,2.0,0.0,6534,1603,276000,2,False,26
2009,3,2,2.0,0.0,3485,1455,243000,2,False,26
1980,2,1,0.0,0.0,7405,920,113900,1,False,6
1952,3,2,1.0,0.0,17860,1541,140000,2,False,24
1980,3,2,2.0,0.0,43560,2564,285000,2,False,28
1960,3,2,0.0,0.0,,1048,150000,2,False,10
1998,3,2,2.0,0.0,19166,1380,245000,2,False,27
1976,2,1,1.0,0.0,14810,1086,175000,1,False,22
2001,4,4,3.0,1.0,23087,3649,610000,5,False,30
1958,3,2,0.0,0.0,19602,1664,200000,2,False,30
1994,4,2,2.0,0.0,15682,2510,350000,2,False,30
1937,4,4,0.0,1.0,6970,3809,525000,5,False,30
1963,3,3,2.0,0.0,14375,1870,223000,3,False,26
2014,4,2,0.0,0.0,5227,1641,214000,2,False,26
1997,3,2,2.0,0.0,10019,2024,275000,2,False,30
2014,3,2,2.0,0.0,5227,1946,311000,2,False,26
1993,4,3,2.0,1.0,23958,2980,495000,4,False,30
1975,4,2,0.0,1.0,74052,4080,429900,3,False,25
1998,3,2,1.0,0.0,5227,1387,208000,2,False,24
1961,4,2,0.0,0.0,7841,1266,102000,2,False,8
1980,2,1,0.0,1.0,10890,1280,148735,2,False,30
1979,3,2,2.0,0.0,14375,1246,201000,2,False,29
1949,3,2,0.0,0.0,9148,2024,370000,2,False,29
2004,3,2,2.0,0.0,7405,1637,242000,2,False,20
2020,3,2,2.0,0.0,3485,1700,322305,2,True,29
1983,2,2,0.0,0.0,4356,1017,179900,2,False,30
2000,4,2,2.0,0.0,6098,2179,315000,2,False,30
